tweet_text,geo_latitude,geo_longitude,hotspot_id
"ellos flipando en su peli, yo estoy haciéndolo... 💰💎 @ mar del plata, argentina https://t.co/rbfajjgo6k",-38.00809969,-57.53999423,1
así estaban algunas calles de mar del plata esta mañana #temporalenmardelplata by @canaldiezmdp… https://t.co/qwckjxqkmw,-38.0,-57.55,1
"#repost borrellandrea with @repostapp ・・・ #mate #mates @ mar del plata, argentina https://t.co/0huaerpa28",-38.00809969,-57.53999423,1
"últimas free 2236002419 @ mar del plata, argentina https://t.co/8x5vsxashf",-38.0,-57.55,1
"🎀 @ mar del plata, argentina https://t.co/nwb4qxbgz9",-38.0,-57.55,1
"i'm at manolo in mar del plata, buenos aires https://t.co/exlednosfj",-38.02962866,-57.53756629,1
"almorzando en #familia #mdq2017 #semanasanta ☺😊 @ chichilo, puerto, mar del plata https://t.co/j87udop3wm",-38.04601864,-57.54291085,1
"ahy erick 😍😍😍  @erickbriancolon @ mar del plata, argentina https://t.co/i2hpecgaiw",-38.0,-57.55,1
"💎chico diamante💎 @ mar del plata, argentina https://t.co/mpiszyulxt",-38.0,-57.55,1
"mar de otoño @ mar del plata, argentina https://t.co/2i7tly4qx0",-38.00809969,-57.53999423,1
"nos vamos de fiesta! 😄😄 @ mar del plata, argentina https://t.co/d9lxnraa8u",-38.00809969,-57.53999423,1
buen diiiiiaaaaaaaaa :3 @ mar del plata mdp https://t.co/ru3h3h0j1g,-37.9769099,-57.58456,1
el clima en mar del plata | la temperatura en #mardelplata es de 13° c. el cielo está… https://t.co/qeyg0sytm1,-38.0,-57.55,1
#fotografia #photography #acantilados #argentina #mardelplata #vsco @ acantilados mar del plata https://t.co/oktehm6gsc,-38.1063491,-57.59362923,1
"🌹 @ mar del plata, argentina https://t.co/8oijq7fox2",-38.00809969,-57.53999423,1
"🙆🏽🙆🏽 @ mar del plata, argentina https://t.co/ezgm0qs1if",-38.0,-57.55,1
"feliz de tenerte conmigo 😍 @ mar del plata, argentina https://t.co/dkiz4v1oef",-38.00809969,-57.53999423,1
"despidiendo a un grande, éxitos en lo que se viene, hasta la próxima 🇧🇷 @ mar del plata, argentina https://t.co/hbkjwdyx5e",-38.00809969,-57.53999423,1
"💖 @ mar del plata, argentina https://t.co/pdaom3d43v",-38.00809969,-57.53999423,1
"tamañanaaaaaaaa🌃🌜😴😪 @ mar del plata, argentina https://t.co/uuzw1emevq",-38.0,-57.55,1
😁😁 @ mar del plata mdp https://t.co/cesh7y8afc,-37.9769099,-57.58456,1
"cosas simples de la vida... @ mar del plata, argentina https://t.co/buq05jg3af",-38.00809969,-57.53999423,1
"♥️ @ mar del plata, argentina https://t.co/cbdvua0rhv",-38.0,-57.55,1
"#3díaderayos falta menos y dios nos regala está noche @ mar del plata, argentina https://t.co/8vgjorbryh",-38.00809969,-57.53999423,1
"fin de la película... 🏅🏸🏆 @ mar del plata, argentina https://t.co/oeoml6qeg2",-38.0,-57.55,1
"aunque el mono se vista de seda...... @ mar del plata, argentina https://t.co/szwdjyokm3",-38.00809969,-57.53999423,1
"una por allá en el 2015 ⏮🔙 @ mar del plata, argentina https://t.co/xhinxjqsi4",-38.0,-57.55,1
"mardel...  paseando un poco. #mardel #mardelplata @ mar del plata, argentina https://t.co/edsf7nku3s",-38.00809969,-57.53999423,1
fin del dia!! #micasa #martes #lindodia #home 🎤👍😉👱💪💕🏠🎵🎶 @ güemes mar del plata https://t.co/bpjfufqdgu,-38.01440174,-57.54067485,1
a un corazón que se escapa no lo quieras enjaular!! @ mar del plata mdp https://t.co/17dgbidr0e,-37.9769099,-57.58456,1
"lmxlm  hermoso momento vivido con lmxlm @ mar del plata, argentina https://t.co/4aijmzah6u",-38.0,-57.55,1
"buennnnnnnnn díaaaaaaaa!!!!🎑🌃🌆🌇🌄🌅⛅☁🌁🌚🏃🏃🏃🏃😍 @ mar del plata, argentina https://t.co/4zclexr5l8",-38.0,-57.55,1
"el tiempo vuela y es mejor que lo disfrutes! @ mar del plata, argentina https://t.co/n7ir5xymxq",-38.00809969,-57.53999423,1
"parcialito! (@ universidad caece in mar del plata, buenos aires) https://t.co/4rdmz5zh8v",-38.01181945,-57.53999233,1
☔domingo de lluvia☔ @ puerto de mar del plata https://t.co/aok6dp0uma,-38.04611228,-57.54310553,1
sunset🔥🌇📷🔝. ph: roscaala @ mar del plata mdp https://t.co/jonuqsxrom,-37.9769099,-57.58456,1
"así estábamos👆 👆 y hoy tenemos que ir a entrenar  😭😭😭😢 @ mar del plata, argentina https://t.co/lk7qboexh6",-38.0,-57.55,1
"listooo el color! @ mar del plata, argentina https://t.co/pdgingcmds",-38.0,-57.55,1
"con matías rossi @ mar del plata, argentina https://t.co/gcdrzucjfr",-38.00809969,-57.53999423,1
"mdq @ mar del plata, argentina https://t.co/gs3w0bxf0r",-38.00809969,-57.53999423,1
"🌸saturday🌸 @ mar del plata, argentina https://t.co/6djganrdzu",-38.00809969,-57.53999423,1
"te quiero idiota 💕✌ @ mar del plata, argentina https://t.co/frt8ulfcw7",-38.0,-57.55,1
"visitando a los lobos marinos😁 @ mar del plata, argentina https://t.co/sa8zkuzqai",-38.00809969,-57.53999423,1
"que la vida me siga cruzando con personitas increíbles ❤ @ mar del plata, argentina https://t.co/ewlvmjbeou",-38.0,-57.55,1
"teníamos tanta hambre que no llegué a sacarle foto. (at @mostazasocial in mar del plata, buenos aires) https://t.co/jhfdev77it",-38.01220829,-57.54412293,1
"hola mundo @ mar del plata, argentina https://t.co/igbfztsjcy",-38.0,-57.55,1
"lindas vacaciones😎💏👪 @ mar del plata, argentina https://t.co/plqbp6ej1j",-38.0,-57.55,1
"mar del plata más linda que nunca !!! @ mar del plata, argentina https://t.co/f1xfxgz07r",-38.00809969,-57.53999423,1
"miro esta foto y lo único q pienso es q quiero terminar la manga ya 😋💉💉💉💉💉💉 @ mar del plata,… https://t.co/dvmgm44vso",-38.00809969,-57.53999423,1
"día de playa con el chancho ❤ @ mar del plata, argentina https://t.co/vdomkdqzzd",-38.0,-57.55,1
"te acabás de despertar y tu cara tipo... @ mar del plata, argentina https://t.co/hglrk5srsg",-38.00809969,-57.53999423,1
"sol y más sol 🌅🌊 @ mar del plata, argentina https://t.co/82ccccmxcm",-38.00809969,-57.53999423,1
"salidita tranqui 🤗 @ mar del plata, argentina https://t.co/moii6st01l",-38.0,-57.55,1
boga con vista al mar en #mdq con mi amigo #tatiparedes @ playita puerto cardiel https://t.co/9veczfa5uv,-37.97679081,-57.54237924,1
"🌃✨ @ mar del plata, argentina https://t.co/xwvemfrbuc",-38.00809969,-57.53999423,1
con las 4 babyssssss jajajaja #amigas @ fiesta de la cerveza santa clara del mar https://t.co/pylq0fikql,-37.84187739,-57.50552467,1
"heineken #heineken#solcito#playa#arena  😎☉🏖⛱ @ mar del plata, argentina https://t.co/s1bzcxip5v",-38.00809969,-57.53999423,1
"🌅😘 #summer #sobrina #argentina #holidays @ mar del plata, argentina https://t.co/ll6jjv0qzs",-38.0,-57.55,1
"notorio. @ mar del plata, argentina https://t.co/wuzaxpf5sc",-38.00809969,-57.53999423,1
"feliz cumpleaños al mejor papá del mundo. gracias por heredarme estos colores @ mar del plata,… https://t.co/48qxwdlbys",-38.00809969,-57.53999423,1
"por más viajes juntas 💓💓 @ mar del plata, argentina https://t.co/a2gxq3riqm",-38.0,-57.55,1
mar del plata y su clima constante... constantemente cambiante #frio #calor #gripe #todoenuno… https://t.co/umkf7brqxb,-38.00809969,-57.53999423,1
"gente, cual es su viaje de ensueño??? @ mar del plata, argentina https://t.co/28npsdihdd",-38.00809969,-57.53999423,1
"🌞🌊😎 @ mar del plata, argentina https://t.co/3e9gvaw83o",-38.00809969,-57.53999423,1
"bonitos. @ mar del plata, argentina https://t.co/aaxeg1tulr",-38.0,-57.55,1
"de acá 🎆🎇🎉 @ mar del plata, argentina https://t.co/aovim08z24",-38.0,-57.55,1
"🐷 @ mar del plata, argentina https://t.co/rbo6e9httf",-38.00809969,-57.53999423,1
"que hago en banfield y no ahi @ mar del plata, argentina https://t.co/vkxqxl4epu",-38.0,-57.55,1
"magui a que vas de vacaciones(? a enfermarte señoras y señores. @ mar del plata, argentina https://t.co/onpwpwgaxa",-38.00809969,-57.53999423,1
"último día de playa. @ mar del plata, argentina https://t.co/icvx0zbxfr",-38.00809969,-57.53999423,1
"ohana ! @ mar del plata, argentina https://t.co/chnfpcctq4",-38.0,-57.55,1
"trensulis💜 @ mar del plata, argentina https://t.co/lxfw4nhrct",-38.00809969,-57.53999423,1
"hacernos bien entre tanto mal✨ @ mar del plata, argentina https://t.co/pwookiz4hw",-38.0,-57.55,1
"luciendo la gorra de ayrtonmacchi 😝🤘 @ mar del plata, argentina https://t.co/zhi7nn5gkq",-38.0,-57.55,1
"dame la mano y vení que te enseño a perder. @ mar del plata, argentina https://t.co/2nnzppyjup",-38.0,-57.55,1
"@valentino_ga #lobosmarinos con el lobo 🐚 @ mar del plata, argentina https://t.co/twyucf4gvk",-38.0,-57.55,1
jajajajajajajaja volver 😂 🔙🔝@los_totora @ vita mar del plata https://t.co/nrjbxe8pua,-38.0164973,-57.5309289,1
#basket 🏀😎 #instalike #deayer @ mar del plata la perla playa https://t.co/trpcbnoohj,-37.99453333,-57.54577,1
"😛😛 @ mar del plata, argentina https://t.co/m4kbox8yij",-38.00809969,-57.53999423,1
"💛 @ mar del plata, argentina https://t.co/xcq4czcv2v",-38.0,-57.55,1
"con la banda disfrutando un poquito 🍻⚽ @ mar del plata, argentina https://t.co/g7comkmaus",-38.00809969,-57.53999423,1
