tweet_text,geo_latitude,geo_longitude,hotspot_id
just posted a photo @ campos de jordan - condominio colina das… https://t.co/l18kchchaa,-22.716603,-45.601963,1
"la caperuza es reconocida orográficamente como ""colina"" ó ""cerro"" (de no más de 300 metros). se… https://t.co/x4ch589110",-34.508611,-55.372222,2
cielo abierto / open sky en parque la colina https://t.co/rvxkasragr,4.73305185,-74.0666914,3
feliz noche en parque la colina https://t.co/vphhh3z0ov,4.73305185,-74.0666914,3
hoy premiere #sobreruedas3d muchos éxitos #hdcinema en parque la colina https://t.co/frczlhs0sy,4.73305185,-74.0666914,3
"yo soy tu pastor, nada te faltará #nomnom #foodie #esdegordos #tacosplease @ la colina del taco… https://t.co/qfuosqfw2j",19.47357358,-99.26329556,4
"no es que somos raro es que somos edición limitada... @ colina, chile https://t.co/a5ytoaaqcy",-33.2,-70.6833,5
