tweet_text,geo_latitude,geo_longitude,hotspot_id
"🔴🔴huracán irma ubicado a 125 km al este-noreste de puerto plata, en el océano atlántico. sigue… https://t.co/p4tfsqwooe",19.4167,-71.1667,1
¿qué tan profundo es el océano y qué sabemos de él? https://t.co/nlg7nl2exy #cultura,10.22230704,-67.47409979,2
#wearesograteful #thanksgod  querida irma:  gracias por bajarle la temperatura al océano… https://t.co/epvnfjilqq,25.84808169,-80.1840806,3
#wearesograteful #thanksgod  querida irma:  gracias por bajarle la temperatura al océano… https://t.co/epvnfjilqq,25.84808169,-80.1840806,3
"inspirándome... en la división entre el cielo y el océano, tan juntos, tan… https://t.co/dyxcutpsht",-20.2167,-70.15,4
i'm at algún lugar del océano pacifico https://t.co/2jkejehbv5,20.75165801,-105.45230148,5
#innovacion ¿qué es el océano azul?  conoce más del tema en el diplomado en habilidades… https://t.co/wh837nzne3,19.45301955,-99.16726811,6
"océano pacifico.. @ valparaíso, chile https://t.co/il5akkjchg",-33.05,-71.6167,7
